Simulador: FLUXO-PLATAFORMA (agents3a/3b/3c portados + extractGraphForgeConfig + graphForge de produção) | estudantes=qwen/qwen3-max
Configuração de modelos ENGAJADA (perfil "custo-beneficio"): braço deliberado de comparação — NÃO é uma replicação do braço final da Campanha 5.
  dominio        openai/gpt-5.6-luna  (perfilPadrao (custo-beneficio))
  materializacao openai/gpt-5.6-luna  (perfilPadrao (custo-beneficio))
  estudantes     qwen/qwen3-max  (--modelo)
  revisao        google/gemini-3.1-flash-lite  (perfilPadrao (custo-beneficio))
  checagem       google/gemini-3.1-flash-lite  (perfilPadrao (custo-beneficio))

==========================================================================
PLANO DA COLETA
  24 problema(s) x 3 réplica(s) = 72 run(s); 3 chamadas de LLM por run (agents 3a, 3b e 3c de produção)
  CUSTO ESTIMADO (teto conservador): até ~US$ 10.80 (teto de US$ 0.05/run; a chamada típica custa cerca de um terço disso; o custo real por chamada fica no manifesto)
  trava de orçamento: STI_BUDGET_USD=50 (default)
==========================================================================
Saída: /root/sti-graph-validation/resultados/rodada4-interface-fixa-2026-08-15/fixa-estudantes-qwen

[1/72] 00bubble_rep1  f1=0.200 conceptual=0.222 recall=0.200 miscs=4
[2/72] 00bubble_rep2  f1=0.211 conceptual=0.235 recall=0.200 miscs=4
[3/72] 00bubble_rep3  f1=0.095 conceptual=0.105 recall=0.100 miscs=4
[4/72] 01watermelon_rep1  f1=0.111 conceptual=0.125 recall=0.100 miscs=2
[5/72] 01watermelon_rep2  f1=0.000 conceptual=0.000 recall=0.000 miscs=2
[6/72] 01watermelon_rep3  f1=0.000 conceptual=0.000 recall=0.000 miscs=2
[7/72] 02watermelon_rep1  f1=0.095 conceptual=0.105 recall=0.091 miscs=3
[8/72] 02watermelon_rep2  f1=0.105 conceptual=0.118 recall=0.091 miscs=5
[9/72] 02watermelon_rep3  f1=0.105 conceptual=0.118 recall=0.091 miscs=3
[10/72] 03summerBooks_rep1  f1=0.105 conceptual=0.118 recall=0.091 miscs=2
[11/72] 03summerBooks_rep2  f1=0.105 conceptual=0.118 recall=0.091 miscs=3
[12/72] 03summerBooks_rep3  f1=0.100 conceptual=0.111 recall=0.091 miscs=3
[13/72] 04soccerSeason_rep1  f1=0.105 conceptual=0.118 recall=0.091 miscs=3
[14/72] 04soccerSeason_rep2  f1=0.105 conceptual=0.118 recall=0.091 miscs=2
[15/72] 04soccerSeason_rep3  f1=0.190 conceptual=0.211 recall=0.182 miscs=4
[16/72] 05flu_rep1  f1=0.000 conceptual=0.000 recall=0.000 miscs=6
[17/72] 05flu_rep2  f1=0.095 conceptual=0.105 recall=0.091 miscs=4
[18/72] 05flu_rep3  f1=0.000 conceptual=0.000 recall=0.000 miscs=1
[19/72] 06lemonade_rep1  f1=0.105 conceptual=0.118 recall=0.091 miscs=3
[20/72] 06lemonade_rep2  f1=0.095 conceptual=0.105 recall=0.091 miscs=4
[21/72] 06lemonade_rep3  f1=0.095 conceptual=0.105 recall=0.091 miscs=3
[22/72] 07pizza_rep1  f1=0.083 conceptual=0.091 recall=0.091 miscs=6
[23/72] 07pizza_rep2  f1=0.000 conceptual=0.000 recall=0.000 miscs=4
[24/72] 07pizza_rep3  f1=0.261 conceptual=0.286 recall=0.273 miscs=9
[25/72] 08dentists_rep1  f1=0.087 conceptual=0.095 recall=0.091 miscs=4
[26/72] 08dentists_rep2  f1=0.000 conceptual=0.000 recall=0.000 miscs=7
[27/72] 08dentists_rep3  f1=0.087 conceptual=0.095 recall=0.091 miscs=4
[28/72] 09mathCompetition_rep1  f1=0.154 conceptual=0.167 recall=0.182 miscs=7
[29/72] 09mathCompetition_rep2  f1=0.080 conceptual=0.087 recall=0.091 miscs=5
[30/72] 09mathCompetition_rep3  f1=0.087 conceptual=0.095 recall=0.091 miscs=4
[31/72] 10children_rep1  f1=0.000 conceptual=0.000 recall=0.000 miscs=5
[32/72] 10children_rep2  f1=0.160 conceptual=0.174 recall=0.182 miscs=7
[33/72] 10children_rep3  f1=0.167 conceptual=0.182 recall=0.182 miscs=9
