item_id;exercicio;enunciado;resposta_correta;resposta_errada_candidata;seu_julgamento_(valido/invalido);observacao
IT001;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;denom=12 (dividido apenas entre 0 e 1);;
IT002;11project;"Ivan tem um projeto para entregar em uma semana. Para não ser preguiçoso, ele dividiu o trabalho em 7 partes e decidiu concluir uma parte por dia. Depois de 5 d";5/7;5/7;;
IT003;10children;"O Sr. e a Sra. Holsinger levaram seus 3 filhos a um parque à tarde. Quando chegaram lá, duas das crianças queriam nadar na piscina, enquanto a outra queria anda";2/3;1;;
IT004;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;5;;
IT005;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;0 7/10;;
IT006;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;12/12;;
IT007;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;3;;
IT008;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;3/5;;
IT009;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;7;;
IT010;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;14/8;;
IT011;11project;"Ivan tem um projeto para entregar em uma semana. Para não ser preguiçoso, ele dividiu o trabalho em 7 partes e decidiu concluir uma parte por dia. Depois de 5 d";5/7;5;;
IT012;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;16;;
IT013;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;4;;
IT014;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;12;;
IT015;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;15/12;;
IT016;21mnm;"Haley acabou de receber uma sacola de M&Ms de uma amiga e agora quer transferi-los para alguns potes. A sacola de M&Ms encheu completamente um pote e 1/3 do seg";4/3;marca 4/3 no local de 5/3 ou faz divisão errada;;
IT017;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;1 3/10;;
IT018;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;1 (ou 4/4);;
IT019;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;1.5;;
IT020;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;1;;
IT021;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;numline:0/8,8/8,16/8;;
IT022;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;3/4 (mas invertido na hora de digitar: F2=4 e denom=3);;
IT023;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;1/4;;
IT024;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;1/4;;
IT025;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;2;;
IT026;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;2/8;;
IT027;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;1 4/7;;
IT028;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;1/5;;
IT029;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;14/12;;
IT030;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;4/5;;
IT031;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;15;;
IT032;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;5/13;;
IT033;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;8/15;;
IT034;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;10;;
IT035;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;987654;;
IT036;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;987654;;
