MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] 01book_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["1/4","4","1/4","5","1/5","1/5","Laura has read less of the novel.","1/4"] | problema fixo: APROVADO
[2/57] 01book_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["1/4","4","1/4","5","1/5","1/4","Levar has read less of the novel.","ok"] | problema fixo: APROVADO
[3/57] 01book_rep3.json: passos 8→8 | dicas 32 | erros 11 | valores ["1/4","4","1/4","5","1/5","1/4","Levar has read less of the novel.","1/4"] | problema fixo: APROVADO
[4/57] 02cheese_rep1.json: passos 8→8 | dicas 32 | erros 16 | valores ["5","5","2/5","3","2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","No. Katie is not right. The piece of cheese Franklin brought is heavier.","ok"] | problema fixo: APROVADO
[5/57] 02cheese_rep2.json: passos 8→8 | dicas 32 | erros 16 | valores ["2/5,2/3","5","2/5","3","2/3","2/5<2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","ok"] | problema fixo: REPROVADO ["2/5,2/3→5.2"]
[6/57] 02cheese_rep3.json: passos 8→8 | dicas 32 | erros 17 | valores ["2/5","5","2/5","3","2/3","2/5<2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","done"] | problema fixo: APROVADO
[7/57] 03chain_rep1.json: passos 8→8 | dicas 32 | erros 8 | valores ["6","6","5/6","5","4/5","Daryl built the longer paper chain.","Daryl built the longer paper chain.","ok"] | problema fixo: APROVADO
[8/57] 03chain_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["5/6","6","5/6","5","4/5","Daryl","Daryl built the longer paper chain.","ok"] | problema fixo: APROVADO
[9/57] 03chain_rep3.json: passos 8→8 | dicas 32 | erros 12 | valores ["both_less_than_1","6","5/6","5","4/5","5/6","Daryl built the longer paper chain.","ok"] | problema fixo: REPROVADO ["both_less_than_1→1"]
[10/57] 04school_rep1.json: passos 9→9 | dicas 36 | erros 13 | valores ["4/10","4/10","10","4/10","5","2/5","same position","Both live the same distance from the school.","Done"] | problema fixo: APROVADO
[11/57] 04school_rep2.json: passos 8→8 | dicas 32 | erros 16 | valores ["4/10","10","4/10","5","2/5","4/10","Both live the same distance from the school.","4/10"] | problema fixo: APROVADO
[12/57] 04school_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["4/10","10","4/10","5","2/5","4/10","Christian lives closer to the school.","ok"] | problema fixo: APROVADO
[13/57] 05height_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["5/12","12","5/12","2","1/2","5/12","Nicole grew more.","ok"] | problema fixo: APROVADO
[14/57] 05height_rep2.json: passos 8→8 | dicas 32 | erros 16 | valores ["12","12","5/12","2","1/2","Nicole grew more.","Nicole grew more.","ok"] | problema fixo: APROVADO
[15/57] 05height_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["5/12","12","5/12","2","1/2","5/12<1/2","Shandell grew more.","done"] | problema fixo: APROVADO
[16/57] 06fence_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["2/3","3","2/3","7","4/7","2/3","Kewana painted more fence.","ok"] | problema fixo: APROVADO
[17/57] 06fence_rep2.json: passos 8→8 | dicas 32 | erros 14 | valores ["2/3","3","2/3","7","4/7","Kewana painted more fence.","Kewana painted more fence.","done"] | problema fixo: APROVADO
[18/57] 06fence_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["3","3","2/3","7","4/7","2/3","Kewana painted more fence.","ok"] | problema fixo: APROVADO
[19/57] 07sandwich_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["2/3","3","2/3","4","2/4","2/3","Lamara ate more of his sandwich.","ok"] | problema fixo: APROVADO
[20/57] 07sandwich_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["2/3","3","2/3","4","2/4","2/3","Lamara ate more of his sandwich.","ok"] | problema fixo: APROVADO
[21/57] 07sandwich_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["2/3","3","2/3","4","2/4","Lamara ate more of his sandwich.","Lamara ate more of his sandwich.","2/3"] | problema fixo: APROVADO
[22/57] 08swimming_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["3/10","10","3/10","3","1/3","1/3","Coach should choose John.","ok"] | problema fixo: APROVADO
[23/57] 08swimming_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["3/10","10","3/10","3","1/3","3/10<1/3","Coach should choose Bethany.","ok"] | problema fixo: APROVADO
[24/57] 08swimming_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["3/10","10","3/10","3","1/3","1/3","Coach should choose John.","ok"] | problema fixo: APROVADO
[25/57] 09pie_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["less_than_1","4","3/4","8","6/8","same_position","Heather has eaten less of her pie.","ok"] | problema fixo: REPROVADO ["less_than_1→1"]
[26/57] 09pie_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["3/4","4","3/4","8","6/8","same position","Both have eaten the same amount of their pies.","ok"] | problema fixo: APROVADO
[27/57] 09pie_rep3.json: passos 8→8 | dicas 32 | erros 8 | valores ["3/4","4","3/4","8","6/8","equal","Both have eaten the same amount of their pies.","ok"] | problema fixo: APROVADO
