MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] 01book_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","1/4","5","1/5","Levar has read less of the novel.","ok"] | problema fixo: APROVADO
[2/57] 01book_rep2.json: passos 6→6 | dicas 24 | erros 6 | valores ["4","1/4","5","1/5","Levar has read less of the novel.","ok"] | problema fixo: APROVADO
[3/57] 01book_rep3.json: passos 6→6 | dicas 24 | erros 2 | valores ["4","1/4","5","1/5","Levar has read less of the novel.","ok"] | problema fixo: APROVADO
[4/57] 02cheese_rep1.json: passos 6→6 | dicas 24 | erros 9 | valores ["5","2/5","3","2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","ok"] | problema fixo: APROVADO
[5/57] 02cheese_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["5","2/5","3","2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","ok"] | problema fixo: APROVADO
[6/57] 02cheese_rep3.json: passos 6→6 | dicas 24 | erros 8 | valores ["5","2/5","3","2/3","No. Katie is not right. The piece of cheese Franklin brought is heavier.","done"] | problema fixo: APROVADO
[7/57] 03chain_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["6","5/6","5","4/5","Daryl built the longer paper chain.","ok"] | problema fixo: APROVADO
[8/57] 03chain_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["6","5/6","5","4/5","Daryl built the longer paper chain.","done"] | problema fixo: APROVADO
[9/57] 03chain_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["6","5/6","5","4/5","Daryl built the longer paper chain.","ok"] | problema fixo: APROVADO
[10/57] 04school_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["10","4/10","5","2/5","same_position","Christian lives closer to the school.","ok"] | problema fixo: APROVADO
[11/57] 04school_rep2.json: passos 6→6 | dicas 24 | erros 11 | valores ["10","4/10","5","2/5","Both live the same distance from the school.","ok"] | problema fixo: APROVADO
[12/57] 04school_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["10","4/10","5","2/5","Both live the same distance from the school.","Both live the same distance from the school."] | problema fixo: APROVADO
[13/57] 05height_rep1.json: passos 6→6 | dicas 24 | erros 4 | valores ["12","5/12","2","1/2","5/12","Shandell grew more."] | problema fixo: APROVADO
[14/57] 05height_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["12","5/12","2","1/2","Shandell grew more.","5/12"] | problema fixo: APROVADO
[15/57] 05height_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["12","5/12","2","1/2","Nicole grew more.","ok"] | problema fixo: APROVADO
[16/57] 06fence_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["3","2/3","7","4/7","Kewana painted more fence.","Done"] | problema fixo: APROVADO
[17/57] 06fence_rep2.json: passos 6→6 | dicas 24 | erros 10 | valores ["3","2/3","7","4/7","Kewana painted more fence.","2/3"] | problema fixo: APROVADO
[18/57] 06fence_rep3.json: passos 6→6 | dicas 24 | erros 8 | valores ["3","2/3","7","4/7","Kewana painted more fence.","ok"] | problema fixo: APROVADO
[19/57] 07sandwich_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["3","2/3","4","2/4","Lamara ate more of his sandwich.","ok"] | problema fixo: APROVADO
[20/57] 07sandwich_rep2.json: passos 6→6 | dicas 24 | erros 7 | valores ["3","2/3","4","2/4","Lamara ate more of his sandwich.","ok"] | problema fixo: APROVADO
[21/57] 07sandwich_rep3.json: passos 6→6 | dicas 24 | erros 6 | valores ["3","2/3","4","2/4","Lamara ate more of his sandwich.","completed"] | problema fixo: APROVADO
[22/57] 08swimming_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["10","3/10","3","1/3","Coach should choose Bethany.","ok"] | problema fixo: APROVADO
[23/57] 08swimming_rep2.json: passos 6→6 | dicas 24 | erros 6 | valores ["10","3/10","3","1/3","Coach should choose Bethany.","ok"] | problema fixo: APROVADO
[24/57] 08swimming_rep3.json: passos 6→6 | dicas 24 | erros 10 | valores ["10","3/10","3","1/3","Coach should choose Bethany.","ok"] | problema fixo: APROVADO
[25/57] 09pie_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["4","3/4","8","6/8","same amount","Both have eaten the same amount of their pies."] | problema fixo: APROVADO
[26/57] 09pie_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","3/4","8","6/8","Both have eaten the same amount of their pies.","ok"] | problema fixo: APROVADO
[27/57] 09pie_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["4","3/4","8","6/8","Heather has eaten less of her pie.","ok"] | problema fixo: APROVADO
[28/57] 10homework_rep1.json: passos 7→7 | dicas 28 | erros 7 | valores ["3","1/3","9","2/9","1/3","Yes; Jeff was going ahead with the homework.","ok"] | problema fixo: APROVADO
[29/57] 10homework_rep2.json: passos 6→6 | dicas 24 | erros 10 | valores ["3","1/3","9","2/9","1/3","Yes; Jeff was going ahead with the homework."] | problema fixo: APROVADO
[30/57] 10homework_rep3.json: passos 6→6 | dicas 24 | erros 7 | valores ["3","1/3","9","2/9","1/3","Yes; Jeff was going ahead with the homework."] | problema fixo: APROVADO
[31/57] 11pizza_rep1.json: passos 6→6 | dicas 24 | erros 9 | valores ["8","2/8","4","1/4","Both ate the same amount of their pizza.","Both ate the same amount of their pizza."] | problema fixo: APROVADO
[32/57] 11pizza_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["8","2/8","4","1/4","same amount","Both ate the same amount of their pizza."] | problema fixo: APROVADO
[33/57] 11pizza_rep3.json: passos 6→6 | dicas 24 | erros 6 | valores ["8","2/8","4","1/4","Chris ate more pizza.","ok"] | problema fixo: APROVADO
[34/57] 12charity_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["7","8/7","8","8/8","Christin ran more hours.","ok"] | problema fixo: APROVADO
[35/57] 12charity_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["7","8/7","8","8/8","Christin ran more hours.","ok"] | problema fixo: APROVADO
[36/57] 12charity_rep3.json: passos 6→6 | dicas 24 | erros 7 | valores ["7","8/7","8","8/8","Christin ran more hours.","ok"] | problema fixo: APROVADO
[37/57] 13school_rep1.json: passos 7→7 | dicas 28 | erros 10 | valores ["10","13/10","3","5/3","13/10","No; Scott is wrong. It is Greg who lives father away.","ok"] | problema fixo: APROVADO
[38/57] 13school_rep2.json: passos 6→6 | dicas 24 | erros 10 | valores ["10","13/10","3","5/3","13/10","13/10"] | problema fixo: APROVADO
[39/57] 13school_rep3.json: passos 7→7 | dicas 28 | erros 6 | valores ["10","13/10","3","5/3","13/10","Yes; Scott is right. He does live farther away.","ok"] | problema fixo: APROVADO
[40/57] 14candy_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["8","9/8","10","11/10","Russ has less candy.","ok"] | problema fixo: APROVADO
[41/57] 14candy_rep2.json: passos 6→6 | dicas 24 | erros 1 | valores ["8","9/8","10","11/10","Russ has less candy.","ok"] | problema fixo: APROVADO
[42/57] 14candy_rep3.json: passos 6→6 | dicas 24 | erros 11 | valores ["8","9/8","10","11/10","Russ has less candy.","ok"] | problema fixo: APROVADO
[43/57] 15sauce_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["9","10/9","1","1","to the right","Sauce made by Dale."] | problema fixo: APROVADO
[44/57] 15sauce_rep2.json: passos 7→7 | dicas 28 | erros 6 | valores ["9","10/9","1","1","10/9","Sauce made by Dale.","Done"] | problema fixo: APROVADO
[45/57] 15sauce_rep3.json: passos 6→6 | dicas 24 | erros 6 | valores ["9","10/9","1","1","greater","Sauce made by Dale."] | problema fixo: APROVADO
[46/57] 16chemistry_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["8","15/8","7","13/7","15/8>13/7","No; Jason actually has more acid."] | problema fixo: APROVADO
[47/57] 16chemistry_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["8","15/8","7","13/7","No; Jason actually has more acid.","ok"] | problema fixo: APROVADO
[48/57] 16chemistry_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["8","15/8","7","13/7","No; Jason actually has more acid.","ok"] | problema fixo: APROVADO
